name, len, rsq, spearman, slope, intercept
CHG_jobs/astex_1gm8 ,250,0.0384617792578,0.15735921996,0.00513578963671,-223.717972541
CHG_jobs/astex_1hnn ,8,0.263414384412,0.690476190476,0.346164751921,-693.195696815
CHG_jobs/astex_1ia1 ,49,0.0763937076551,-0.285612244898,-0.00453933065132,217.317942706
CHG_jobs/astex_1ig3 ,249,0.000153287637071,-0.110669732351,-0.000210111999927,141.464251433
CHG_jobs/astex_1j3j ,22,0.640278203558,0.608867575819,0.0094661719757,158.59684896
CHG_jobs/astex_1jd0 ,72,0.0427427946087,-0.258812936636,-0.0494190432308,26.4467129752
CHG_jobs/astex_1l7f ,247,0.0826155095838,0.284490200263,0.0113256655183,-101.223506168
CHG_jobs/astex_1lpz ,250,2.3885760802e-05,-0.00880103681659,-0.000304086625212,157.542988215
CHG_jobs/astex_1mmv ,250,0.0384782156834,0.165066193059,0.00514212579796,240.08624761
CHG_jobs/astex_1mzc ,250,0.00105324772659,-0.0328137090193,-0.0010545969975,154.613781629
CHG_jobs/astex_1n1m ,44,0.28883028103,0.102050884741,0.0384079229816,45.7435844176
CHG_jobs/astex_1of6 ,173,0.0764088710178,-0.129903895082,-0.0107238097485,40.6238862332
CHG_jobs/astex_1oq5 ,8,0.786386160984,0.785714285714,0.0324596889063,-273.691953368
CHG_jobs/astex_1owe ,250,0.317105499229,-0.646275020909,-0.00345504855263,182.189261383
CHG_jobs/astex_1oyt ,250,0.00128010945916,0.0753957808085,0.00141941336103,61.6506608479
CHG_jobs/astex_1p2y ,12,0.333272738349,0.252189528602,0.0194589203799,150.215409911
CHG_jobs/astex_1pmn ,250,0.270312917083,0.500603849662,0.0103045441531,139.789319965
CHG_jobs/astex_1q1g ,71,0.0259349348097,0.268328876006,0.0187225140488,9.78259416235
CHG_jobs/astex_1r1h ,250,0.00039163117902,-0.0427978687659,-0.00124762641187,-99.4811172062
CHG_jobs/astex_1s3v ,250,0.0243750493641,-0.310331228467,-0.00685524463783,72.5345910161
CHG_jobs/astex_1sj0 ,250,0.00106500336855,0.0601541784669,0.00149325121785,29.4073626221
CHG_jobs/astex_1t46 ,250,0.055550631337,-0.22495809533,-0.00742329212121,233.027547277
CHG_jobs/astex_1tt1 ,250,0.0921820773028,-0.255846446666,-0.0137003457464,-11.8890575477
CHG_jobs/astex_1uou ,99,0.0150976070811,0.0142857142857,-0.00603530062924,78.1955575076
CHG_jobs/astex_1vcj ,250,0.139092653924,0.34657437719,0.0181923546437,-75.4976284791
CHG_jobs/astex_1y6b ,250,0.0530418691057,0.325040848654,0.0265285405154,-110.495340139
CHG_jobs/astex_1ygc ,250,0.000584086728115,0.0475272884366,0.000877370722457,-105.389213062
CHG_jobs/astex_1ywr ,250,0.000744312936507,0.107465271444,0.000543459832504,166.557453717
CHG_jobs/astex_2bm2 ,250,0.00296775239684,0.0356000576009,0.00796323812823,128.199595122
CHG_jobs/omegacsd_ABXBPC ,250,0.025844312646,-0.132245955935,-0.00129648973707,-212.068746287
CHG_jobs/omegacsd_AURMIN ,72,0.0930212471989,0.11712638781,1.00343569328,-1076.76132932
CHG_jobs/omegacsd_BAFJEX10 ,250,0.0220100154267,0.428442951087,0.00158450781697,395.245626783
CHG_jobs/omegacsd_BATROD ,250,0.0924258412708,0.245328516359,0.0126559968231,164.796315702
CHG_jobs/omegacsd_BUSNIM ,54,0.397213480986,0.562569087097,0.014273970975,132.829382226
CHG_jobs/omegacsd_CAGXEN ,70,0.991942130593,0.642399111206,0.0975677537889,-330.090107569
CHG_jobs/omegacsd_CALLEG ,250,0.00729002893041,-0.055492877051,-0.00157842410586,88.0464942456
CHG_jobs/omegacsd_CATXIE ,250,0.00658318127702,0.0574692075073,0.0124186762197,-112.296719993
CHG_jobs/omegacsd_CIXTOS ,250,0.0702819670188,0.294674410791,0.0310655480245,115.90195206
CHG_jobs/omegacsd_CMPEPI ,250,0.000288228842605,0.0165076688006,0.000220996750927,193.414428858
CHG_jobs/omegacsd_CYCLIZ10 ,42,0.00865803466417,0.109958674338,-0.00131891567161,194.040104039
CHG_jobs/omegacsd_DIPJAN10 ,250,0.00188095957004,0.0194733355734,-0.0012632858983,85.5830619465
CHG_jobs/omegacsd_DIZREJ ,37,0.000836067886751,-0.0561877667141,-0.00112269097508,133.148551838
CHG_jobs/omegacsd_DIZWAK ,250,0.479412031469,0.780974397326,0.0360803590488,40.3544487772
