name, len, rsq, spearman, slope, intercept
CHG_jobs/astex_1gm8 ,250,0.204661639903,0.499905054463,0.331589899817,-226.845886809
CHG_jobs/astex_1hnn ,8,0.988187909836,0.857142857143,0.742014522379,126.39980381
CHG_jobs/astex_1ia1 ,49,0.000293037089577,0.05,-0.0141814125606,212.634452902
CHG_jobs/astex_1ig3 ,249,0.00204248136157,-0.0515577147299,0.0192808195508,141.689733123
CHG_jobs/astex_1j3j ,22,0.88299162416,0.644268774704,0.65370764039,203.54597138
CHG_jobs/astex_1jd0 ,72,0.0779682826851,0.274814871625,0.518808560418,-101.359684819
CHG_jobs/astex_1l7f ,247,0.219144285525,0.473973281263,0.427528045296,7.09666442862
CHG_jobs/astex_1lpz ,250,0.09918431608,0.287705467287,0.411386848912,160.036288615
CHG_jobs/astex_1mmv ,250,0.204272073558,0.528519560313,0.381384988047,281.023979974
CHG_jobs/astex_1mzc ,250,0.219140122571,0.452195267124,0.722130693151,84.4491464511
CHG_jobs/astex_1n1m ,44,0.606627076761,0.640028188865,0.736374264334,56.8861991316
CHG_jobs/astex_1of6 ,173,0.73076800609,0.697381686873,0.536057395874,21.5796766165
CHG_jobs/astex_1oq5 ,8,0.133161169432,0.190476190476,3.01220220323,-572.426311594
CHG_jobs/astex_1owe ,250,0.252459390001,-0.578852144729,-0.177065158166,182.409972068
CHG_jobs/astex_1oyt ,250,0.260505416709,0.398653443538,0.520151298865,79.6650791606
CHG_jobs/astex_1p2y ,12,0.585737773323,0.293706293706,0.78114764667,151.901260139
CHG_jobs/astex_1pmn ,250,0.612259613609,0.763185714971,0.411953300488,234.337559139
CHG_jobs/astex_1q1g ,71,0.0236612568887,0.230384225228,0.101832554113,49.4246806276
CHG_jobs/astex_1r1h ,250,0.133712515618,0.354660778572,0.325830482498,-110.14185227
CHG_jobs/astex_1s3v ,250,0.0144239963508,0.169061106357,0.29812721664,71.8451003289
CHG_jobs/astex_1sj0 ,250,0.127054172227,0.325040911062,0.394787747275,-14.5623380026
CHG_jobs/astex_1t46 ,250,0.0159966891247,-0.152958479336,-0.163637624199,231.2003434
CHG_jobs/astex_1tt1 ,250,0.140943645495,0.412717131474,0.46903757798,-32.0267344658
CHG_jobs/astex_1uou ,99,0.0931514512715,-0.326778994371,-0.542274933176,26.5352472375
CHG_jobs/astex_1vcj ,250,0.347665559001,0.600023808381,0.557760113076,-70.1419822712
CHG_jobs/astex_1y6b ,250,0.233018457739,0.364126530024,0.734104092961,112.214799491
CHG_jobs/astex_1ygc ,250,0.00969382142121,0.101476311621,0.0857317682278,-99.5840397577
CHG_jobs/astex_1ywr ,250,0.0940314474448,0.391458551337,0.229938753887,170.126939967
CHG_jobs/astex_2bm2 ,250,0.211896986824,0.438497767964,0.731620719868,96.5363304398
CHG_jobs/omegacsd_ABXBPC ,250,0.00499144219934,0.0352298892065,0.0361384479009,-216.167327281
CHG_jobs/omegacsd_AURMIN ,72,0.0238301402896,-0.264348133754,0.167327043628,170.974012265
CHG_jobs/omegacsd_BAFJEX10 ,250,0.153804800608,0.355444919119,0.118581432724,367.501449075
CHG_jobs/omegacsd_BATROD ,250,0.168008201745,0.327847996515,0.316605455985,232.124801826
CHG_jobs/omegacsd_BUSNIM ,54,0.808082801075,0.841661902039,0.67640641925,126.419265749
CHG_jobs/omegacsd_CAGXEN ,70,0.990713205106,0.245547118312,1.29288643528,-279.865032545
CHG_jobs/omegacsd_CALLEG ,250,0.0390502046005,0.29160708169,0.104527111524,89.8960435579
CHG_jobs/omegacsd_CATXIE ,250,0.128608161231,0.366958191331,0.320433925177,-75.4151348284
CHG_jobs/omegacsd_CIXTOS ,250,0.447930857833,0.676944079105,0.558452324101,175.535541438
CHG_jobs/omegacsd_CMPEPI ,250,0.773948888101,0.769292889729,0.774559144262,135.238656452
CHG_jobs/omegacsd_CYCLIZ10 ,42,0.141227186807,-0.00737409343825,0.278092498626,154.727872547
CHG_jobs/omegacsd_DIPJAN10 ,250,0.170067088822,0.39933374934,0.320735920394,62.6960809224
CHG_jobs/omegacsd_DIZREJ ,37,0.140260967254,0.491939307729,0.439932295883,102.79993285
CHG_jobs/omegacsd_DIZWAK ,250,0.69683300912,0.790772019837,0.483587752085,24.7864245105
CHG_jobs/omegacsd_DUZRAR ,250,0.494162420167,0.684575049201,0.510104202376,38.3460139866
CHG_jobs/omegacsd_FAJVAN ,250,0.010287847476,-0.041995303988,0.0393988576109,343.496873056
CHG_jobs/omegacsd_FANRER ,250,0.00816744151951,-0.0193850141602,0.0475689245215,23.2468066029
CHG_jobs/omegacsd_FEKYEZ ,250,0.145788898054,0.412980413563,0.527264995768,41.122655256
CHG_jobs/omegacsd_FEVZUB ,250,0.300392061005,0.47672276428,0.659535531849,169.711587758
CHG_jobs/omegacsd_FOLYIO ,247,0.0397000590629,0.190002767276,0.0868156627093,70.6124920079
CHG_jobs/omegacsd_FOPMIG ,40,0.0629763841788,-0.470235024207,-0.0127105746872,-115.620051041
CHG_jobs/omegacsd_FUPFIF ,63,0.0535844772364,0.130808371736,0.153739866929,121.811488565
CHG_jobs/omegacsd_GALMOV ,250,0.703255596092,0.746313247349,0.377063220644,-33.7991092641
CHG_jobs/omegacsd_GEKWAU ,250,0.208004570858,0.550781309251,0.352189854312,168.939957662
CHG_jobs/omegacsd_HEPYAC ,250,0.244924800827,0.554344570381,0.276331537387,12.1889546171
CHG_jobs/omegacsd_HEVJAT ,250,0.0536335576891,0.167228439215,0.361014031586,-140.350203382
CHG_jobs/omegacsd_JUBJOF ,250,0.029124000406,0.112496546333,0.0495200746898,117.045864233
CHG_jobs/omegacsd_KEMHOZ ,30,0.841298361026,0.908666153136,0.680831999833,48.8945179072
CHG_jobs/omegacsd_PEPHEX ,250,0.530894607762,0.755387318197,0.36566856337,-30.7272645574
CHG_jobs/omegacsd_PONXUL ,249,0.139296428342,0.347054867286,0.373477096616,66.0762472837
CHG_jobs/omegacsd_SAGWOM ,250,0.0897031999333,0.262114964166,0.0684084498511,-58.3438635725
CHG_jobs/omegacsd_SAWZUL ,250,0.357721074263,0.444756300101,0.453725603569,207.43952921
CHG_jobs/omegacsd_SIHGIZ ,250,0.1942308644,0.436549188239,0.434140220227,104.037157348
CHG_jobs/omegacsd_SUKPET ,250,0.293640583203,0.520541548609,0.788180302357,131.72848631
CHG_jobs/omegacsd_TAZXAT ,250,0.00300696867922,-0.102306188185,-0.0907193395965,486.013254564
CHG_jobs/omegacsd_TEKBIU ,250,0.913196804259,0.864361046966,0.549958040256,-14.1376480939
CHG_jobs/omegacsd_VIMYUL ,249,0.590091326883,0.757576517213,0.496331687088,-30.5198632821
CHG_jobs/omegacsd_VURTOR ,250,0.206557955375,0.42704481068,0.907826993003,147.488020114
CHG_jobs/omegacsd_WEBCOV ,199,0.289529368022,0.41358611238,0.37437206214,21.365513302
CHG_jobs/omegacsd_WIDDIW ,103,0.042824670483,-0.126224921542,-0.322623410107,171.056982401
CHG_jobs/omegacsd_YAYDEH ,92,0.638505903368,0.652759582633,0.862513904401,-73.2284636347
CHG_jobs/omegacsd_YIHJAA ,250,0.497091272436,0.696113549124,0.453175688678,66.5638688448
CHG_jobs/omegapdb_1g4s ,248,0.14397255619,0.377452550987,0.56409025791,58.5936462707
CHG_jobs/omegapdb_1gj6 ,108,0.982936541737,0.718745311011,0.545727540368,157.573297256
CHG_jobs/omegapdb_1n2b ,69,0.680595270996,0.799842892278,0.603036000555,-278.67986311
CHG_jobs/omegapdb_1nnk ,250,5.04869166397e-07,0.367336264966,0.000168017709095,-186.302745748
CHG_jobs/omegapdb_1o2q ,249,0.838240991487,0.849645656614,0.595616420405,11.4508451974
CHG_jobs/omegapdb_1o37 ,250,0.204480087787,0.382872394493,0.321547702963,216.752859849
CHG_jobs/omegapdb_1o3l ,250,0.521067850447,0.836039332266,0.50026084636,-65.5003923564
CHG_jobs/omegapdb_1o3m ,180,0.157544395677,0.405470987339,0.899267342604,-80.8878530297
CHG_jobs/omegapdb_1pa9 ,153,0.134702802848,0.399980063624,0.373479278895,-178.409499565
CHG_jobs/omegapdb_1r4p ,250,0.150392379014,-0.0408873774114,0.717456381369,-57.1201536107
CHG_jobs/omegapdb_1rf6 ,250,0.0363293283958,0.275717456802,0.155757721113,-121.462915418
CHG_jobs/omegapdb_1w4l ,250,0.149088323787,0.36444064705,0.615826639822,-57.5861106208
CHG_jobs/omegapdb_2aj8 ,132,0.0666087319795,0.249428977304,0.0965163609024,132.076987626
CHG_jobs/omegapdb_2fm0 ,250,0.00816064064674,0.0987537080593,0.0774327208111,-454.218727025
CHG_jobs/omegapdb_2j47 ,250,0.587345153206,0.772515528248,0.467636081871,-91.7368733587
Neutral_jobs/astex_1g9v ,250,0.023244388021,-0.229206739308,-0.0778529878003,-155.359208186
Neutral_jobs/astex_1gkc ,250,0.35848173851,0.6124187587,0.484313444472,-204.234373823
Neutral_jobs/astex_1hp0 ,35,0.0123392930419,-0.0229691876751,-0.0928563144364,-109.954769711
Neutral_jobs/astex_1hq2 ,12,0.151176836275,-0.412587412587,-0.0484304215464,-38.8184467537
Neutral_jobs/astex_1hvy ,250,0.0432362536777,0.260866509864,0.132931601811,-207.776544307
Neutral_jobs/astex_1hwi ,250,0.19335277361,0.455913686154,0.286052102143,-186.435807114
Neutral_jobs/astex_1jje ,250,0.418232494847,0.58720875534,0.399273646778,-202.180068566
Neutral_jobs/astex_1jla ,250,0.0535482711153,0.207769636206,0.206538950004,-84.7738750127
Neutral_jobs/astex_1k3u ,250,0.235080535792,0.419705436454,0.291315899307,-186.753794343
Neutral_jobs/astex_1ke5 ,250,0.83080669269,0.753644080602,0.660721906345,-47.6814103988
Neutral_jobs/astex_1kzk ,250,0.0701210566453,0.272165506648,0.224489529131,-202.642739456
Neutral_jobs/astex_1l2s ,250,0.101443081924,0.436447426553,0.187499925048,-106.47531266
Neutral_jobs/astex_1lrh ,129,0.142224988235,0.464414293548,0.342155946447,-65.547022053
Neutral_jobs/astex_1m2z ,108,0.0378330549841,0.107449590591,0.395823307311,-336.484292325
Neutral_jobs/astex_1meh ,250,0.100367270779,0.360054213998,0.224507416066,-250.423225294
Neutral_jobs/astex_1n2j ,89,0.347517281005,0.733885523358,0.379823067639,-205.089416113
Neutral_jobs/astex_1n2v ,94,0.213613039055,0.578736900667,0.272157147226,-45.1981253565
Neutral_jobs/astex_1n46 ,106,0.231580829873,0.612202433433,0.608363735232,-143.545714877
Neutral_jobs/astex_1nav ,250,0.0196065564776,0.26889684635,0.195902441152,-167.966284437
Neutral_jobs/astex_1of1 ,36,0.805980954676,0.495238095238,0.510481067175,-139.223882259
Neutral_jobs/astex_1opk ,250,0.023333162945,0.324473858479,0.378991635896,0.805970500223
Neutral_jobs/astex_1p62 ,33,0.0030489451329,-0.0404411764706,0.0421472870778,-244.931401651
Neutral_jobs/astex_1q41 ,1,0.0,nan,nan,nan
Neutral_jobs/astex_1q4g ,144,0.146991950652,0.519420260732,0.33968827634,-70.15938747
Neutral_jobs/astex_1r55 ,250,0.330215125076,0.604172610762,0.4293797174,-263.953387584
Neutral_jobs/astex_1r58 ,250,0.111092808447,0.352048068362,0.191036621133,-131.585939622
Neutral_jobs/astex_1r9o ,250,0.065959965612,0.632431340609,0.387497219311,-119.984750612
Neutral_jobs/astex_1sg0 ,16,0.0028181699265,0.170588235294,-0.106340578828,-76.2910818099
Neutral_jobs/astex_1sq5 ,250,0.249976253191,0.519860989776,0.400983705452,-251.27567246
Neutral_jobs/astex_1t40 ,250,0.0860084374635,0.247917870286,0.178319776773,-281.743224971
Neutral_jobs/astex_1t9b ,249,0.032949363308,0.0637147298873,0.110457219192,-74.1675297917
Neutral_jobs/astex_1tow ,250,0.0614109369963,0.18708374894,0.198125708924,-41.5724881802
Neutral_jobs/astex_1tz8 ,250,0.391301762069,0.180856329638,0.800280687776,-82.7261798312
Neutral_jobs/astex_1u1c ,250,0.0656156280515,0.260171892703,0.220817807585,-132.660234462
Neutral_jobs/astex_1u4d ,1,0.0,nan,nan,nan
Neutral_jobs/astex_1uml ,250,0.0145909793346,0.112243843902,0.0815051341142,-52.9813616761
Neutral_jobs/astex_1unl ,250,0.0590646157713,0.285797779638,0.163745494425,16.416458688
Neutral_jobs/astex_1v0p ,250,0.165130875853,0.412972111554,0.328378577221,-77.407507805
Neutral_jobs/astex_1v48 ,250,0.166250862609,0.375371454015,0.582060457318,-255.012934905
Neutral_jobs/astex_1v4s ,250,0.00985498443837,0.103494667786,0.117418423593,7.7399558861
Neutral_jobs/astex_1w1p ,1,0.0,nan,nan,nan
Neutral_jobs/astex_1w2g ,36,0.0267580634358,0.201801801802,0.183152570436,-207.295375161
Neutral_jobs/astex_1xm6 ,250,0.00390188568905,-0.0672475399606,-0.0321576218836,-151.842256089
Neutral_jobs/astex_1xoq ,250,0.211333443686,-0.47785686171,-0.424819296254,-113.644008873
Neutral_jobs/astex_1xoz ,12,0.238213017597,0.188811188811,0.0459750564442,-70.1690120391
Neutral_jobs/astex_1yqy ,250,0.232840050917,0.454373908462,0.371910227121,-222.287124314
Neutral_jobs/astex_1yvf ,250,0.0113999843192,-0.251559017244,-0.0534797828347,-66.1673307007
Neutral_jobs/astex_1z95 ,250,0.214576035185,0.420288964623,0.20379957956,-314.916020823
Neutral_jobs/astex_2br1 ,250,0.0422430785299,0.314387870931,0.18010494049,-64.828458549
Neutral_jobs/astex_2bsm ,250,0.271877446143,0.610511784189,0.171253183384,-109.63104132
Neutral_jobs/omegacsd_ABHYTZ ,120,0.20093499451,0.495813930877,0.28262293421,62.7825496192
Neutral_jobs/omegacsd_ABIMAZ ,203,0.191595229807,0.501082714574,0.114561098245,-25.6474494776
Neutral_jobs/omegacsd_ABSBPP ,250,0.0280804111265,-0.133132702808,-0.0691033869098,-22.2871137242
Neutral_jobs/omegacsd_ABVPRO ,190,0.968990545239,0.688779841742,0.532702930703,-8.47880335388
Neutral_jobs/omegacsd_ABZNPS ,250,0.0671689342843,-0.172604399371,0.499415301713,-103.321929772
Neutral_jobs/omegacsd_ACENHT ,250,0.0457458030953,0.171517979082,0.206548681353,-14.3199547247
Neutral_jobs/omegacsd_ACPIXZ ,250,0.286292534579,0.602903744278,0.336885957174,-40.701977635
Neutral_jobs/omegacsd_ACTHBZ ,250,0.236417184937,0.540156202209,0.0897356160688,-57.3265389381
Neutral_jobs/omegacsd_ADPRTR ,250,0.168244209192,0.418901934431,0.565200670636,52.861017109
Neutral_jobs/omegacsd_AMOCMS10 ,124,0.00310681541685,0.0921227380016,0.0493742104494,-97.8500653069
Neutral_jobs/omegacsd_AMPDAM ,250,0.201339800959,0.376937264484,0.259521840205,16.4110005348
Neutral_jobs/omegacsd_ANOPPS ,54,0.00362985674834,-0.110045931904,-0.0315367680186,96.3327233001
Neutral_jobs/omegacsd_ANTZOA ,234,0.0779818803171,0.497458722236,0.0882638253827,80.8758231134
Neutral_jobs/omegacsd_ANTZOB ,250,0.163481719493,0.408560116293,0.145087047359,107.846270311
Neutral_jobs/omegacsd_AOPCHY ,250,0.0941486679478,0.241955393385,0.180573332703,-153.950472985
Neutral_jobs/omegacsd_APRTAM ,250,0.180152723556,0.416050304805,0.61032410386,-5.85539030584
Neutral_jobs/omegacsd_AZLNPR ,250,0.0960011891101,0.370620600248,0.278348088061,-93.6208577376
Neutral_jobs/omegacsd_BAFREF ,250,0.153117561466,0.332424389045,1.91236052337,345.617592287
Neutral_jobs/omegacsd_BAFYOW ,250,0.124684172323,0.222316602435,0.132240200166,-93.3239485281
Neutral_jobs/omegacsd_BAJZOB10 ,250,0.467746114567,0.641992593669,0.683215864783,-173.993386792
Neutral_jobs/omegacsd_BATXID ,250,0.0103380116743,0.166857838019,0.0256668543009,75.4371032266
Neutral_jobs/omegacsd_BAXOZO ,180,0.649730133606,-0.603583967572,-1.32943926142,-128.713587978
Neutral_jobs/omegacsd_BBSPRT10 ,62,0.0184107404257,0.041776837652,0.0886930664448,-63.8526217563
Neutral_jobs/omegacsd_BEDLUR ,250,0.0472081475667,-0.213075450118,-0.0530383491003,-92.5090926942
Neutral_jobs/omegacsd_BEHHOL10 ,250,0.123750491736,0.442317562006,0.23490393787,-76.05119541
Neutral_jobs/omegacsd_BEKDIE ,250,0.134956161205,0.38726074488,0.143204996442,-163.388994994
Neutral_jobs/omegacsd_BELWOE ,108,0.0814796900411,-0.548229903022,-0.307967500804,-67.854123904
Neutral_jobs/omegacsd_BENPRL ,250,0.0171319215685,0.136913576905,0.0988375736723,-77.7494211012
Neutral_jobs/omegacsd_BESCEH ,250,0.0781742969149,0.250525704613,0.165349278429,-40.0252988923
Neutral_jobs/omegacsd_BETFAH ,156,0.213715420366,0.583314696467,1.94378384421,20.3156020581
Neutral_jobs/omegacsd_BEWLIY10 ,90,0.889675516879,0.715158848739,0.191185714779,-32.5229470763
Neutral_jobs/omegacsd_BEWLOE10 ,90,0.879813559332,0.74650559148,0.430036440721,-46.3971125964
Neutral_jobs/omegacsd_BEXVOP ,250,0.0191955262997,0.137259950513,0.201675748671,-49.3498664181
Neutral_jobs/omegacsd_BHMPET ,250,0.857282462526,0.91660999376,0.832773818774,-179.218746199
Neutral_jobs/omegacsd_BIBHID ,75,0.182123063161,0.647396870555,0.19495160153,-71.2617172867
Neutral_jobs/omegacsd_BIBSEK ,250,0.0280740471026,0.00096385560675,-0.140538896922,-86.1808970893
Neutral_jobs/omegacsd_BSBTHP ,250,0.0713060322055,0.108713203776,0.729580132463,-78.559254026
Neutral_jobs/omegacsd_BTHYDX ,250,0.020846628898,-0.265693467095,0.10504118876,-55.4417275678
Neutral_jobs/omegacsd_BUDCUY ,250,0.064861731972,0.273659553266,0.110040432297,43.3796170463
Neutral_jobs/omegacsd_BUFXOP ,250,0.210915406975,0.396935246964,0.269353657239,-35.2282786568
Neutral_jobs/omegacsd_BUHNIB ,250,0.132818030878,-0.248326164255,-0.120269837908,57.8219877292
Neutral_jobs/omegacsd_BUNFUL ,20,0.0164074661129,0.0210526315789,-0.222530863359,129.831566438
Neutral_jobs/omegacsd_BUTDID ,44,0.13568450363,0.300715317851,0.110712653182,-5.06333107057
Neutral_jobs/omegacsd_BUVYIA ,250,0.0119450024959,0.150542725588,0.0849292225892,-144.280022905
Neutral_jobs/omegacsd_BUYZIE ,250,0.24682766585,0.414430646461,0.515338235427,2.95445422693
Neutral_jobs/omegacsd_BZAPCX10 ,250,0.755045886422,0.804452555516,0.592496380558,56.5370017415
Neutral_jobs/omegacsd_BZAPUC20 ,250,0.590107266411,0.706033990337,1.10851973104,-19.6379368563
Neutral_jobs/omegacsd_CABCUD ,250,0.129279601265,0.389582756124,0.361065610251,-72.6926034676
Neutral_jobs/omegacsd_CAFGIZ ,250,0.0440889897777,-0.234585174403,-0.293741458441,-90.2368172999
Neutral_jobs/omegacsd_CANPUC ,18,0.000309603781005,-0.00826019728044,0.0270395782858,-121.621605646
Neutral_jobs/omegacsd_CARNID ,250,0.0825212955853,0.289286642758,0.239698144282,3.21309282763
Neutral_jobs/omegacsd_CAVNUI ,250,0.21597301951,0.465919057618,0.238043552101,-110.005299594
Neutral_jobs/omegacsd_CBMHZP ,6,0.0773862629279,-0.0285714285714,0.497396440833,-74.6342380625
Neutral_jobs/omegacsd_CBSTHP ,250,0.239663922246,0.453308291003,0.40672901686,-103.221199065
Neutral_jobs/omegacsd_CBZHYX ,250,0.0652351975847,0.233543116051,0.287148814832,-80.1704501635
Neutral_jobs/omegacsd_CDBMPI10 ,1,0.0,nan,nan,nan
Neutral_jobs/omegacsd_CEJTIU ,250,0.14965441525,0.242119760403,0.204923901836,-36.2135111083
Neutral_jobs/omegacsd_CEKNOV ,250,0.0173211839373,0.0509085309576,0.0893599521406,-45.3536812229
Neutral_jobs/omegacsd_CELDEC ,72,0.0231264047145,0.240722577741,0.82311143731,-68.9568302603
Neutral_jobs/omegacsd_CELXOG ,250,0.625207491609,0.705164122197,0.846685387118,-75.9764675612
Neutral_jobs/omegacsd_CENNIS ,166,0.327416199773,0.614232617503,0.744484087825,-50.9160707272
Neutral_jobs/omegacsd_CETZOQ ,250,0.129049237756,0.3446578687,0.151892757044,-162.411881777
Neutral_jobs/omegacsd_CEVTUS ,64,0.864983013711,0.884877345266,0.510724451892,-133.549634968
Neutral_jobs/omegacsd_CEWFUF ,250,0.35253625826,0.587492151874,0.812732136445,66.6250181386
Neutral_jobs/omegacsd_CFBPBI ,250,0.0109420527779,-0.0348378120939,-0.0968877319847,-86.0641383138
Neutral_jobs/omegacsd_CIBPEI ,250,0.0184307436955,-0.106670035682,-0.0442345285891,-60.6822783579
Neutral_jobs/omegacsd_CIBPOS ,108,0.364167604208,0.609964584025,0.661050071946,-50.5699590041
Neutral_jobs/omegacsd_CIDSIR ,250,0.0308306304004,0.169470392065,0.057710850168,-24.3564087141
Neutral_jobs/omegacsd_CIHFAA ,250,0.130123399123,0.541616473864,0.175452925718,-195.071237814
Neutral_jobs/omegacsd_CIHJAE ,250,0.00600141905622,0.136076853483,0.0576177065802,-118.363826165
Neutral_jobs/omegacsd_CIJFEG ,250,0.00553351977213,-0.0575490918349,0.105236501034,-65.3161080069
Neutral_jobs/omegacsd_CIJVAS ,250,0.000764383429126,0.0932482477793,-0.0185921294629,36.7072765494
Neutral_jobs/omegacsd_CIPXEE ,250,0.0154317281498,0.147981162173,0.0722706638718,-21.3480538367
Neutral_jobs/omegacsd_CIXFIY ,250,0.010495328349,0.0534848111024,0.0867899827445,-8.62921740232
Neutral_jobs/omegacsd_CLPHAC ,250,0.000477673153337,-0.0700869217608,0.0199639169589,-59.1392824041
Neutral_jobs/omegacsd_CLPNXA ,250,0.200562909528,0.386789878902,0.346852596986,-49.8787444313
Neutral_jobs/omegacsd_CLPSAM ,85,0.140204083337,0.096082627351,0.270268346726,-43.7463495142
Neutral_jobs/omegacsd_CLPTBU ,160,0.144209101005,0.452157849983,0.108921708099,45.5953960368
Neutral_jobs/omegacsd_CMANPQ ,250,0.00283836775565,0.019009075795,0.0634118053802,-102.53237073
Neutral_jobs/omegacsd_CMAPTX ,67,0.0154305110876,-0.00941814989225,0.109316461952,37.0354985599
Neutral_jobs/omegacsd_CMSMOC ,55,0.0524724241046,0.221107884377,0.174919610166,-97.1493352468
Neutral_jobs/omegacsd_CMXPMB ,150,0.955366631957,0.863089793404,0.412749274021,-127.470285636
Neutral_jobs/omegacsd_CMXPYO ,212,0.403829037702,0.693548580088,0.0283239075247,-52.8022902327
Neutral_jobs/omegacsd_CNBPCT ,250,0.261287120279,0.464763966693,0.311366830149,16.0292297527
Neutral_jobs/omegacsd_CNINDO ,108,0.0960990054531,0.53878838111,0.118947806768,-36.7596907885
Neutral_jobs/omegacsd_COCHOL ,250,0.000104640073614,0.00757759469641,0.00761213261366,-56.8194360035
Neutral_jobs/omegacsd_CODYUP10 ,250,0.00123581620534,0.0142665990048,0.0531480732381,-56.8168968502
Neutral_jobs/omegacsd_COFHIO10 ,250,0.25246987544,0.361612825805,0.358547061249,88.4890413818
Neutral_jobs/omegacsd_COKBOT ,250,0.00567969399399,0.105578326066,0.0431836686052,-8.78869726131
Neutral_jobs/omegacsd_COKSUQ ,250,0.0301761621997,0.191448183171,0.187462043172,-151.387307206
Neutral_jobs/omegacsd_COKTAX ,250,0.116166488303,0.322918062689,0.19834866098,-112.083324999
Neutral_jobs/omegacsd_COTXUE ,250,0.233173540559,0.485605524161,0.334069585061,-34.4053781836
Neutral_jobs/omegacsd_COVXIU ,45,0.298945127882,0.351329095352,0.775498051918,61.9185436593
Neutral_jobs/omegacsd_COYHUT10 ,250,0.0186490890549,-0.142030432487,-0.0719259299296,-34.4427896269
Neutral_jobs/omegacsd_COYPIP ,117,0.00411266121837,-0.222760889277,0.34589116421,-59.8805390914
Neutral_jobs/omegacsd_COYTOZ ,250,0.0959624391286,-0.271619170208,-0.186413499538,-67.504404673
Neutral_jobs/omegacsd_COYVIV ,209,0.504333400077,0.65444667104,0.578906475968,43.9087269272
Neutral_jobs/omegacsd_COZFOM ,250,0.0523456265715,0.256701628513,0.0678527387731,-133.498279723
Neutral_jobs/omegacsd_CPIPLA ,53,0.0991947305977,0.610062893082,0.113233744247,-2.98680827731
Neutral_jobs/omegacsd_CPPHAM ,194,0.0777297979354,0.320188320451,0.0953121925122,-89.3964197139
Neutral_jobs/omegacsd_CPQZOL ,250,0.141897907027,0.519182480384,0.352594879403,-8.10730876791
